dteday,windspeed,casual,registered,cnt,Label
2012/7/29,0.170396,2153,4444,6597,Normal
2012/7/30,0.153617,1040,6065,7105,Normal
2012/7/31,0.165425,968,6248,7216,Normal
2012/8/1,0.141179,1074,6506,7580,Normal
2012/8/2,0.129354,983,6278,7261,Normal
2012/8/3,0.215792,1328,5847,7175,Normal
2012/8/4,0.257458,2345,4479,6824,Normal
2012/8/5,0.290421,1707,3757,5464,Normal
2012/8/6,0.129354,1233,5780,7013,Normal
2012/8/7,0.116908,1278,5995,7273,Normal
2012/8/8,0.1107,1263,6271,7534,Normal
2012/8/9,0.1561,1196,6090,7286,Normal
2012/8/10,0.238813,1065,4721,5786,Normal
2012/8/11,0.206479,2247,4052,6299,Normal
2012/8/12,0.122512,2182,4362,6544,Normal
2012/8/13,0.136212,1207,5676,6883,Normal
2012/8/14,0.169158,1128,5656,6784,Normal
2012/8/15,0.169771,1198,6149,7347,Normal
2012/8/16,0.141796,1338,6267,7605,Normal
2012/8/17,0.231354,1483,5665,7148,Normal
2012/8/18,0.177867,2827,5038,7865,Normal
2012/8/19,0.08645,1208,3341,4549,Normal
2012/8/20,0.129979,1026,5504,6530,Normal
2012/8/21,0.07277080000000001,1081,5925,7006,Normal
2012/8/22,0.0702833,1094,6281,7375,Normal
2012/8/23,0.08459580000000001,1363,6402,7765,Normal
2012/8/24,0.07214580000000001,1325,6257,7582,Normal
2012/8/25,0.244408,1829,4224,6053,Normal
2012/8/26,0.228858,1483,3772,5255,Normal
2012/8/27,0.128733,989,5928,6917,Normal
2012/8/28,0.190925,935,6105,7040,Normal
2012/8/29,0.112562,1177,6520,7697,Normal
2012/8/30,0.0771167,1172,6541,7713,Normal
2012/8/31,0.168533,1433,5917,7350,Normal
2012/9/1,0.113187,2352,3788,6140,Normal
2012/9/2,0.06407080000000001,2613,3197,5810,Normal
2012/9/3,0.151121,1965,4069,6034,Normal
2012/9/4,0.236321,867,5997,6864,Normal
2012/9/5,0.187808,832,6280,7112,Normal
2012/9/6,0.142421,611,5592,6203,Normal
2012/9/7,0.171646,1045,6459,7504,Normal
2012/9/8,0.281104,1557,4419,5976,Normal
2012/9/9,0.224496,2570,5657,8227,Normal
2012/9/10,0.258713,1118,6407,7525,Normal
2012/9/11,0.09205419999999999,1070,6697,7767,Normal
2012/9/12,0.131846,1050,6820,7870,Normal
2012/9/13,0.08272080000000001,1054,6750,7804,Normal
2012/9/14,0.103863,1379,6630,8009,Normal
2012/9/15,0.247521,3160,5554,8714,Normal
2012/9/16,0.09018330000000001,2166,5167,7333,Normal
2012/9/17,0.151742,1022,5847,6869,Normal
2012/9/18,0.357587,371,3702,4073,Big
2012/9/19,0.215175,788,6803,7591,Normal
2012/9/20,0.118167,939,6781,7720,Normal
2012/9/21,0.154229,1250,6917,8167,Normal
2012/9/22,0.283583,2512,5883,8395,Normal
2012/9/23,0.223258,2454,5453,7907,Normal
2012/9/24,0.142404,1001,6435,7436,Normal
2012/9/25,0.236321,845,6693,7538,Normal
2012/9/26,0.2444,787,6946,7733,Normal
2012/9/27,0.134342,751,6642,7393,Normal
2012/9/28,0.164179,1045,6370,7415,Normal
2012/9/29,0.227604,2589,5966,8555,Normal
2012/9/30,0.134958,2015,4874,6889,Normal
2012/10/1,0.09080419999999999,763,6015,6778,Normal
2012/10/2,0.104475,315,4324,4639,Normal
2012/10/3,0.0665458,728,6844,7572,Normal
2012/10/4,0.117546,891,6437,7328,Normal
2012/10/5,0.10635,1516,6640,8156,Normal
2012/10/6,0.268025,3031,4934,7965,Normal
2012/10/7,0.141162,781,2729,3510,Normal
2012/10/8,0.189679,874,4604,5478,Normal
2012/10/9,0.1903,601,5791,6392,Normal
2012/10/10,0.187821,780,6911,7691,Normal
2012/10/11,0.181596,834,6736,7570,Normal
2012/10/12,0.235092,1060,6222,7282,Normal
2012/10/13,0.146142,2252,4857,7109,Normal
2012/10/14,0.278612,2080,4559,6639,Normal
2012/10/15,0.296037,760,5115,5875,Normal
2012/10/16,0.182221,922,6612,7534,Normal
2012/10/17,0.101371,979,6482,7461,Normal
2012/10/18,0.236937,1008,6501,7509,Normal
2012/10/19,0.134954,753,4671,5424,Normal
2012/10/20,0.117537,2806,5284,8090,Normal
2012/10/21,0.166054,2132,4692,6824,Normal
2012/10/22,0.08148330000000001,830,6228,7058,Normal
2012/10/23,0.09454580000000001,841,6625,7466,Normal
2012/10/24,0.07277919999999999,795,6898,7693,Normal
2012/10/25,0.124375,875,6484,7359,Normal
2012/10/26,0.132467,1182,6262,7444,Normal
2012/10/27,0.235692,2643,5209,7852,Normal
2012/10/28,0.398008,998,3461,4459,Big
2012/10/29,0.3582,2,20,22,Big
2012/10/30,0.213009,87,1009,1096,Normal
2012/10/31,0.166667,419,5147,5566,Normal
2012/11/1,0.157346,466,5520,5986,Normal
2012/11/2,0.266175,618,5229,5847,Normal
2012/11/3,0.270529,1029,4109,5138,Normal
2012/11/4,0.179108,1201,3906,5107,Normal
2012/11/5,0.236325,378,4881,5259,Normal
2012/11/6,0.173513,466,5220,5686,Normal
2012/11/7,0.304108,326,4709,5035,Little
2012/11/8,0.347835,340,4975,5315,Little
2012/11/9,0.214558,709,5283,5992,Normal
2012/11/10,0.05784580000000001,2090,4446,6536,Normal
2012/11/11,0.1275,2290,4562,6852,Normal
2012/11/12,0.173517,1097,5172,6269,Normal
2012/11/13,0.342046,327,3767,4094,Little
2012/11/14,0.199625,373,5122,5495,Normal
2012/11/15,0.152987,320,5125,5445,Normal
2012/11/16,0.171025,484,5214,5698,Normal
2012/11/17,0.179729,1313,4316,5629,Normal
2012/11/18,0.227612,922,3747,4669,Normal
2012/11/19,0.235067,449,5050,5499,Normal
2012/11/20,0.082725,534,5100,5634,Normal
2012/11/21,0.103246,615,4531,5146,Normal
2012/11/22,0.05287080000000001,955,1470,2425,Normal
2012/11/23,0.148021,1603,2307,3910,Normal
2012/11/24,0.376871,532,1745,2277,Big
2012/11/25,0.1505,309,2115,2424,Normal
2012/11/26,0.04665,337,4750,5087,Normal
2012/11/27,0.237562,123,3836,3959,Normal
2012/11/28,0.210821,198,5062,5260,Normal
2012/11/29,0.115522,243,5080,5323,Normal
2012/11/30,0.05847080000000001,362,5306,5668,Normal
2012/12/1,0.05970419999999999,951,4240,5191,Normal
2012/12/2,0.124379,892,3757,4649,Normal
2012/12/3,0.08272080000000001,555,5679,6234,Normal
2012/12/4,0.174129,551,6055,6606,Normal
2012/12/5,0.324021,331,5398,5729,Little
2012/12/6,0.174754,340,5035,5375,Normal
2012/12/7,0.1306,349,4659,5008,Normal
2012/12/8,0.101379,1153,4429,5582,Normal
2012/12/9,0.157975,441,2787,3228,Normal
2012/12/10,0.190308,329,4841,5170,Normal
2012/12/11,0.296037,282,5219,5501,Normal
2012/12/12,0.162937,310,5009,5319,Normal
2012/12/13,0.174129,425,5107,5532,Normal
2012/12/14,0.131229,429,5182,5611,Normal
2012/12/15,0.10635,767,4280,5047,Normal
2012/12/16,0.100742,538,3248,3786,Normal
2012/12/17,0.0982583,212,4373,4585,Normal
2012/12/18,0.221404,433,5124,5557,Normal
2012/12/19,0.184092,333,4934,5267,Normal
2012/12/20,0.132463,314,3814,4128,Normal
2012/12/21,0.374383,221,3402,3623,Big
2012/12/22,0.407346,205,1544,1749,Strong
2012/12/23,0.133083,408,1379,1787,Normal
2012/12/24,0.07723039999999999,174,746,920,Normal
2012/12/25,0.168726,440,573,1013,Normal
2012/12/26,0.316546,9,432,441,Little
2012/12/27,0.350133,247,1867,2114,Big
2012/12/28,0.155471,644,2451,3095,Normal
2012/12/29,0.124383,159,1182,1341,Normal
2012/12/30,0.350754,364,1432,1796,Big
2012/12/31,0.154846,439,2290,2729,Normal
